category,level,year,name,id,credits,professor,department,sub-category,language,location,remark
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 019,3,Baillargeon Jennifer,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(12:30~13:45)', 'place': '5-208'}, {'time': 'Wed.(12:30~13:45)', 'place': '5-208'}, {'time': 'Fri.(11:00~11:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 014,3,,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(11:00~12:15)', 'place': '5-107-2'}, {'time': 'Wed.(11:00~12:15)', 'place': '5-107-2'}, {'time': 'Fri.(12:00~12:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 017,3,Hee Youn Cho,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(12:30~13:45)', 'place': '2-101'}, {'time': 'Tue.(18:00~18:50)', 'place': '2-104-1'}, {'time': 'Wed.(12:30~13:45)', 'place': '2-101'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 018,3,Kim Eunah,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(12:30~13:45)', 'place': '3-109'}, {'time': 'Wed.(12:30~13:45)', 'place': '3-109'}, {'time': 'Thur.(18:00~18:50)', 'place': '2-105'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 023,3,Christopher Hemann,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-102'}, {'time': 'Tue.(17:00~17:50)', 'place': '2-105'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-102'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 025,3,Dylan Williams,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-106'}, {'time': 'Tue.(18:00~18:50)', 'place': '2-105'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 024,3,Suh Bo Ram,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-101-1'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-101-1'}, {'time': 'Thur.(18:00~18:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 027,3,Park Yeo Sun,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '3-109'}, {'time': 'Wed.(14:00~15:15)', 'place': '3-109'}, {'time': 'Thur.(18:00~18:50)', 'place': '5-107-2'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 022,3,Raymond Salcedo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '3-114'}, {'time': 'Wed.(14:00~15:15)', 'place': '3-114'}, {'time': 'Fri.(11:00~11:50)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 026,3,Hee Youn Cho,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-101'}, {'time': 'Tue.(17:00~17:50)', 'place': '2-106'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-101'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 021,3,Jungmee Lee,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '2-105'}, {'time': 'Wed.(14:00~15:15)', 'place': '2-105'}, {'time': 'Fri.(10:00~10:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 020,3,Song Mijeong,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '3-116'}, {'time': 'Wed.(14:00~15:15)', 'place': '3-116'}, {'time': 'Fri.(13:00~13:50)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 033,3,Christiaan Prinsloo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '2-104-1'}, {'time': 'Wed.(18:00~18:50)', 'place': '2-105'}, {'time': 'Thur.(09:30~10:45)', 'place': '2-104-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 031,3,Paul Bentley Shepherd,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '3-114'}, {'time': 'Wed.(17:00~17:50)', 'place': '2-104-1'}, {'time': 'Thur.(09:30~10:45)', 'place': '3-114'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 034,3,Mo Yoonsook,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '2-101'}, {'time': 'Thur.(09:30~10:45)', 'place': '2-101'}, {'time': 'Fri.(14:00~14:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 029,3,Raymond Salcedo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(15:30~16:45)', 'place': '3-114'}, {'time': 'Wed.(15:30~16:45)', 'place': '3-114'}, {'time': 'Thur.(17:00~17:50)', 'place': '2-106'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 036,3,Joel J. Park,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '3-116'}, {'time': 'Thur.(11:00~12:15)', 'place': '3-116'}, {'time': 'Fri.(10:00~10:50)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 035,3,Jung  Hanbyul,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '5-107-1'}, {'time': 'Thur.(09:30~10:45)', 'place': '5-107-1'}, {'time': 'Fri.(12:00~12:50)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 032,3,Kim Yaeri,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(17:00~17:50)', 'place': '5-107-2'}, {'time': 'Tue.(09:30~10:45)', 'place': '2-104'}, {'time': 'Thur.(09:30~10:45)', 'place': '2-104'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 028,3,Cho Chulwon,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(15:30~16:45)', 'place': '2-105'}, {'time': 'Tue.(18:00~18:50)', 'place': '2-106'}, {'time': 'Wed.(15:30~16:45)', 'place': '2-105'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 030,3,Ashley Dawe,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(15:30~16:45)', 'place': '2-104'}, {'time': 'Wed.(15:30~16:45)', 'place': '2-104'}, {'time': 'Fri.(12:00~12:50)', 'place': '2-104-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 038,3,Christiaan Prinsloo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(18:00~18:50)', 'place': '2-104-1'}, {'time': 'Tue.(11:00~12:15)', 'place': '2-104-1'}, {'time': 'Thur.(11:00~12:15)', 'place': '2-104-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 044,3,Paul Bentley Shepherd,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(18:00~18:50)', 'place': '2-106'}, {'time': 'Tue.(12:30~13:45)', 'place': '3-114'}, {'time': 'Thur.(12:30~13:45)', 'place': '3-114'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 045,3,Christopher Hemann,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '2-102'}, {'time': 'Thur.(12:30~13:45)', 'place': '2-102'}, {'time': 'Fri.(11:00~11:50)', 'place': '5-107-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 039,3,Mo Yoonsook,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '2-101'}, {'time': 'Thur.(11:00~12:15)', 'place': '2-101'}, {'time': 'Fri.(13:00~13:50)', 'place': '5-208'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 040,3,Park Yeo Sun,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(18:00~18:50)', 'place': '2-105'}, {'time': 'Tue.(11:00~12:15)', 'place': '3-109'}, {'time': 'Thur.(11:00~12:15)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 043,3,Yehrim Han,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '3-116'}, {'time': 'Thur.(12:30~13:45)', 'place': '3-116'}, {'time': 'Fri.(11:00~11:50)', 'place': '5-101-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 041,3,Nicholas William Shaw,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '4-201'}, {'time': 'Thur.(11:00~12:15)', 'place': '4-201'}, {'time': 'Fri.(10:00~10:50)', 'place': '4-201'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 042,3,Jung  Hanbyul,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '5-107-1'}, {'time': 'Thur.(11:00~12:15)', 'place': '5-107-1'}, {'time': 'Fri.(13:00~13:50)', 'place': '5-101-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 037,3,Kim Yaeri,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '2-104'}, {'time': 'Wed.(18:00~18:50)', 'place': '4-201'}, {'time': 'Thur.(11:00~12:15)', 'place': '2-104'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 050,3,Christiaan Prinsloo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '2-104-1'}, {'time': 'Thur.(14:00~15:15)', 'place': '2-104-1'}, {'time': 'Fri.(12:00~12:50)', 'place': '5-101-1'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 049,3,Suh Bo Ram,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '5-107-1'}, {'time': 'Thur.(14:00~15:15)', 'place': '5-107-1'}, {'time': 'Fri.(11:00~11:50)', 'place': '5-208'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 048,3,Baillargeon Jennifer,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '5-208'}, {'time': 'Wed.(18:00~18:50)', 'place': '2-106'}, {'time': 'Thur.(12:30~13:45)', 'place': '5-208'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 053,3,Baillargeon Jennifer,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '5-208'}, {'time': 'Thur.(14:00~15:15)', 'place': '5-208'}, {'time': 'Fri.(13:00~13:50)', 'place': '5-101-2'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 054,3,Soha Chung,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '3-114'}, {'time': 'Wed.(17:00~17:50)', 'place': '2-106'}, {'time': 'Thur.(14:00~15:15)', 'place': '3-114'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 046,3,Robin Anderson,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '4-201'}, {'time': 'Thur.(12:30~13:45)', 'place': '4-201'}, {'time': 'Fri.(12:00~12:50)', 'place': '5-208'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 051,3,Robin Anderson,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '4-201'}, {'time': 'Thur.(14:00~15:15)', 'place': '4-201'}, {'time': 'Fri.(14:00~14:50)', 'place': '3-109'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 052,3,Ashley Dawe,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '2-106'}, {'time': 'Thur.(14:00~15:15)', 'place': '2-106'}, {'time': 'Fri.(14:00~14:50)', 'place': '5-208'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 047,3,Ashley Dawe,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '2-106'}, {'time': 'Thur.(12:30~13:45)', 'place': '2-106'}, {'time': 'Fri.(10:00~10:50)', 'place': '2-105'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 002,3,Dylan Williams,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(09:30~10:45)', 'place': '3-105'}, {'time': 'Wed.(09:30~10:45)', 'place': '3-105'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 004,3,Dylan Williams,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(11:00~12:15)', 'place': '3-105'}, {'time': 'Wed.(11:00~12:15)', 'place': '3-105'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 056,3,Mi-Jung Jang,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(15:30~16:45)', 'place': '3-114'}, {'time': 'Thur.(15:30~16:45)', 'place': '3-114'}, {'time': 'Fri.(10:00~10:50)', 'place': '2-101'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 058,3,Yon Ji Sol,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '5-107-2'}, {'time': 'Thur.(14:00~15:15)', 'place': '5-107-2'}, {'time': 'Fri.(11:00~11:50)', 'place': '2-105'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 005,3,Robin Anderson,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(12:30~13:45)', 'place': '3-105'}, {'time': 'Wed.(12:30~13:45)', 'place': '3-105'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 006,3,Robin Anderson,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '3-105'}, {'time': 'Wed.(14:00~15:15)', 'place': '3-105'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 001,3,Chung-In Im,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(09:30~10:45)', 'place': '2-104-1'}, {'time': 'Wed.(09:30~10:45)', 'place': '2-104-1'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 003,3,Chung-In Im,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(11:00~12:15)', 'place': '2-104-1'}, {'time': 'Wed.(11:00~12:15)', 'place': '2-104-1'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 1,L0441.000600 055,3,Yoo Eun-Jung,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(15:30~16:45)', 'place': '2-105'}, {'time': 'Wed.(17:00~17:50)', 'place': '2-105'}, {'time': 'Thur.(15:30~16:45)', 'place': '2-105'}]","ⓔ® Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 010,3,Paul Bentley Shepherd,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '3-114'}, {'time': 'Thur.(11:00~12:15)', 'place': '3-114'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 009,3,,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '5-101-1'}, {'time': 'Thur.(09:30~10:45)', 'place': '5-101-1'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 013,3,,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '5-101-1'}, {'time': 'Thur.(11:00~12:15)', 'place': '5-101-1'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 014,3,Jung Seohyon,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(12:30~13:45)', 'place': '5-107-2'}, {'time': 'Thur.(12:30~13:45)', 'place': '5-107-2'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 008,3,Yoon Linda,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(09:30~10:45)', 'place': '5-107-2'}, {'time': 'Thur.(09:30~10:45)', 'place': '5-107-2'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 011,3,Kwon Jina,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '2-102'}, {'time': 'Thur.(11:00~12:15)', 'place': '2-102'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 012,3,Suh Bo Ram,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(11:00~12:15)', 'place': '2-101-1'}, {'time': 'Thur.(11:00~12:15)', 'place': '2-101-1'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 007,3,Baillargeon Jennifer,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Mon.(14:00~15:15)', 'place': '5-208'}, {'time': 'Wed.(14:00~15:15)', 'place': '5-208'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
Subject for Liberal Education,Undergraduate,1,College English 2,L0441.000700 015,3,Sohn Heonjoo,Department of English Language and Literature,Academic Foundations - Foreign Languages,English,"[{'time': 'Tue.(14:00~15:15)', 'place': '5-101-2'}, {'time': 'Thur.(14:00~15:15)', 'place': '5-101-2'}]","ⓔ®Only first-year students can sign up until August 13th (If you are not eligible for the course, you will fail it., See Course Registration Guidelines at https://liberaledu.snu.ac.kr/node/90 before registration.)"
